Date;Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Total Deaths per 100rb;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths
01/06/2021;ID-AC;Aceh;29;0;14;15;8805;360;7198;1247;Province;Aceh;Indonesia;Asia;Sumatera;UTC+07:00;Daerah Khusus;18;5;289;;6497;57956;5247257;90.54;9.691.052.174;4.225.614.628;5.53;1678.02;0.00;68.61;6.86;4.09%;81.75%;3.63;0.00
01/06/2021;ID-BA;Bali;191;11;170;10;18454;542;16842;1070;Province;Bali;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;1;57;80;636;5780;4216171;729.43;1.151.317.136;-8.369.471.688;45.30;4376.96;2.61;128.55;12.86;2.94%;91.26%;1.14;11.00
01/06/2021;ID-BT;Banten;189;5;131;53;19334;565;16934;1835;Province;Banten;Indonesia;Asia;Jawa;UTC+07:00;;4;4;155;313;1238;9663;10722374;1109.64;1.061.090.043;-6.456.736.388;17.63;1803.15;0.47;52.69;5.27;2.92%;87.59%;1.15;0.63
01/06/2021;ID-BE;Bengkulu;42;2;70;-30;3821;121;3040;660;Province;Bengkulu;Indonesia;Asia;Sumatera;UTC+07:00;;9;1;129;172;1341;19919;1999539;100.38;1.023.384.213;-3.533.583.627;21.00;1910.94;1.00;60.51;6.05;3.17%;79.56%;2.10;
01/06/2021;ID-JK;DKI Jakarta;2402;17;1095;1290;195300;3383;175315;16602;Province;DKI Jakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Khusus Ibu Kota;1;5;44;267;;664;10846145;16334.31;1.068.361.183;-6.204.698.991;221.46;18006.40;1.57;311.91;31.19;1.73%;89.77%;1.32;0.89
01/06/2021;ID-YO;Daerah Istimewa Yogyakarta;272;4;290;-22;13612;297;9196;4119;Province;Daerah Istimewa Yogyakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Istimewa;4;1;78;46;392;3133;3631015;1158.90;1.104.448.783;-789.450.185;74.91;3748.81;1.10;81.80;8.18;2.18%;67.56%;0.92;1.33
01/06/2021;ID-GO;Gorontalo;0;0;22;-22;3887;104;3459;324;Province;Gorontalo;Indonesia;Asia;Sulawesi;UTC+08:00;;5;1;77;72;657;11257;1180651;104.88;1.223.760.581;0.687002604;0.00;3292.25;0.00;88.09;8.81;2.68%;88.99%;0.00;1.00
01/06/2021;ID-JA;Jambi;41;0;29;12;3397;58;2473;866;Province;Jambi;Indonesia;Asia;Sumatera;UTC+07:00;;9;2;141;163;1399;50058;3493357;69.79;1.027.236.404;-169.769.766;11.74;972.42;0.00;16.60;1.66;1.71%;72.80%;2.05;1.00
01/06/2021;ID-JB;Jawa Barat;1255;19;1594;-358;97404;1514;81594;14296;Province;Jawa Barat;Indonesia;Asia;Jawa;UTC+07:00;;18;9;627;645;5312;35378;45161325;1276.55;1.076.037.083;-6.920.432.083;27.79;2156.80;0.42;33.52;3.35;1.55%;83.77%;1.04;1.58
01/06/2021;ID-JT;Jawa Tengah;1023;47;1025;-49;88401;3871;61438;23092;Province;Jawa Tengah;Indonesia;Asia;Jawa;UTC+07:00;;29;6;576;753;7809;32801;36364072;1108.64;1.102.011.149;-7.259.097.177;28.13;2431.00;1.29;106.45;10.65;4.38%;69.50%;1.03;2.14
01/06/2021;ID-JI;Jawa Timur;803;51;905;-153;88754;6743;78934;3077;Province;Jawa Timur;Indonesia;Asia;Jawa;UTC+07:00;;29;9;666;777;7724;47803;40479023;846.78;1.127.329.414;-7.723.345.579;19.84;2192.59;1.26;166.58;16.66;7.60%;88.94%;1.19;0.84
01/06/2021;ID-KB;Kalimantan Barat;24;0;38;-14;3213;28;2918;267;Province;Kalimantan Barat;Indonesia;Asia;Kalimantan;UTC+07:00;;12;2;174;99;2031;147307;5422814;36.81;1.111.211.776;-0.086474572;4.43;592.50;0.00;5.16;0.52;0.87%;90.82%;0.83;0.00
01/06/2021;ID-KS;Kalimantan Selatan;88;2;59;27;15679;592;14173;914;Province;Kalimantan Selatan;Indonesia;Asia;Kalimantan;UTC+08:00;;11;2;153;144;1864;38744;4023049;103.84;1.154.385.783;-2.993.594.979;21.87;3897.29;0.50;147.15;14.72;3.78%;90.39%;1.09;2.00
01/06/2021;ID-KT;Kalimantan Tengah;66;0;203;-137;10108;200;7407;2501;Province;Kalimantan Tengah;Indonesia;Asia;Kalimantan;UTC+07:00;;13;1;136;139;1432;153565;2570289;16.74;1.134.176.536;-1.602.484.653;25.68;3932.63;0.00;77.81;7.78;1.98%;73.28%;1.10;1.00
01/06/2021;ID-KI;Kalimantan Timur;375;5;182;188;28734;782;24115;3837;Province;Kalimantan Timur;Indonesia;Asia;Kalimantan;UTC+08:00;;7;3;103;197;841;129067;3552191;27.52;1.164.684.405;0.45385803;105.57;8089.09;1.41;220.15;22.01;2.72%;83.92%;1.33;0.63
01/06/2021;ID-KU;Kalimantan Utara;205;0;123;82;4453;63;2392;1998;Province;Kalimantan Utara;Indonesia;Asia;Kalimantan;UTC+08:00;;4;1;53;35;447;75468;648407;8.59;1.162.188.791;2.891.012.621;316.16;6867.60;0.00;97.16;9.72;1.41%;53.72%;2.30;0.00
01/06/2021;ID-BB;Kepulauan Bangka Belitung;78;3;74;1;2717;45;2055;617;Province;Kepulauan Bangka Belitung;Indonesia;Asia;Sumatera;UTC+07:00;;6;1;47;82;309;16424;1379767;84.01;1.065.499.324;-2.447.444.127;56.53;1969.17;2.17;32.61;3.26;1.66%;75.63%;1.53;1.00
01/06/2021;ID-KR;Kepulauan Riau;25;0;58;-33;7164;174;6342;648;Province;Kepulauan Riau;Indonesia;Asia;Sumatera;UTC+07:00;;5;2;75;142;275;8202;1929400;235.24;108.261.746;3.916.346;12.96;3713.07;0.00;90.18;9.02;2.43%;88.53%;0.83;0.00
01/06/2021;ID-LA;Lampung;87;33;96;-42;6783;325;4821;1637;Province;Lampung;Indonesia;Asia;Sumatera;UTC+07:00;;13;2;228;205;2435;34624;9095591;262.70;1.050.214.366;-4.916.792.975;9.57;745.75;3.63;35.73;3.57;4.79%;71.07%;1.06;6.60
01/06/2021;ID-MA;Maluku;3;0;14;-11;5825;76;4807;942;Province;Maluku;Indonesia;Asia;Maluku;UTC+09:00;;9;2;118;35;1198;46914;1847097;39.37;129.576.792;-3.192.572;1.62;3153.60;0.00;41.15;4.11;1.30%;82.52%;0.09;1.00
01/06/2021;ID-MU;Maluku Utara;20;0;0;20;2838;91;2363;384;Province;Maluku Utara;Indonesia;Asia;Maluku;UTC+09:00;;8;2;116;118;1063;31983;1307803;40.89;1.275.391.072;0.212036949;15.29;2170.05;0.00;69.58;6.96;3.21%;83.26%;0.91;1.00
01/06/2021;ID-NB;Nusa Tenggara Barat;42;1;12;29;5902;264;4653;985;Province;Nusa Tenggara Barat;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;2;117;145;995;18572;5270247;283.77;1.175.086.257;-8.606.998.866;7.97;1119.87;0.19;50.09;5.01;4.47%;78.84%;3.23;
01/06/2021;ID-NT;Nusa Tenggara Timur;24;1;38;-15;2320;55;1341;924;Province;Nusa Tenggara Timur;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;21;1;309;327;3026;48718;5411321;111.07;121.592.271;-8.682.205;4.44;428.73;0.18;10.16;1.02;2.37%;57.80%;0.42;0.50
01/06/2021;ID-PA;Papua;58;1;119;-62;13431;162;7843;5426;Province;Papua;Indonesia;Asia;Papua;UTC+09:00;Daerah Khusus;28;1;560;110;5411;319036;4340348;13.60;13.869.603;-466.620.953;13.36;3094.45;0.23;37.32;3.73;1.21%;58.39%;0.87;1.00
01/06/2021;ID-PB;Papua Barat;12;0;17;-5;6081;101;5617;363;Province;Papua Barat;Indonesia;Asia;Papua;UTC+09:00;Daerah Khusus;12;1;218;95;1742;102955;1140701;11.08;1.329.762.624;-2.045.160.182;10.52;5330.93;0.00;88.54;8.85;1.66%;92.37%;0.39;1.00
01/06/2021;ID-RI;Riau;169;1;115;53;25701;601;23807;1293;Province;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.82;4231.24;0.16;98.94;9.89;2.34%;92.63%;1.06;0.50
01/06/2021;ID-SR;Sulawesi Barat;10;1;9;0;2020;40;1579;401;Province;Sulawesi Barat;Indonesia;Asia;Sulawesi;UTC+08:00;;6;;69;73;575;16787;1559984;92.93;1.193.450.194;-2.461.746.053;6.41;1294.89;0.64;25.64;2.56;1.98%;78.17%;2.50;1.00
01/06/2021;ID-SN;Sulawesi Selatan;463;4;1407;-948;34392;618;28945;4829;Province;Sulawesi Selatan;Indonesia;Asia;Sulawesi;UTC+08:00;;21;3;311;792;2255;46717;9426885;201.78;1.201.620.559;-3.731.080.714;49.11;3648.29;0.42;65.56;6.56;1.80%;84.16%;0.72;0.67
01/06/2021;ID-ST;Sulawesi Tengah;162;0;150;12;4058;118;2312;1628;Province;Sulawesi Tengah;Indonesia;Asia;Sulawesi;UTC+08:00;;12;1;175;175;1842;61841;2955567;47.79;1.212.010.927;-100.413.668;54.81;1373.00;0.00;39.92;3.99;2.91%;56.97%;1.72;0.00
01/06/2021;ID-SG;Sulawesi Tenggara;34;2;99;-67;8134;156;7011;967;Province;Sulawesi Tenggara;Indonesia;Asia;Sulawesi;UTC+08:00;;15;2;219;377;1911;38068;2635461;69.23;122.070.311;-4.124.688.793;12.90;3086.37;0.76;59.19;5.92;1.92%;86.19%;1.13;1.00
01/06/2021;ID-SA;Sulawesi Utara;42;1;74;-33;9999;324;7357;2318;Province;Sulawesi Utara;Indonesia;Asia;Sulawesi;UTC+08:00;;11;4;171;332;1507;13892;2641884;190.17;1.245.212.396;1.259.638.212;15.90;3784.80;0.38;122.64;12.26;3.24%;73.58%;1.20;
01/06/2021;ID-SB;Sumatera Barat;178;4;123;51;23984;540;22577;867;Province;Sumatera Barat;Indonesia;Asia;Sumatera;UTC+07:00;;12;7;179;230;928;42013;5519245;131.37;1.004.650.624;-0.850253225;32.25;4345.52;0.72;97.84;9.78;2.25%;94.13%;2.47;2.00
01/06/2021;ID-SS;Sumatera Selatan;99;3;99;-3;12217;610;9820;1787;Province;Sumatera Selatan;Indonesia;Asia;Sumatera;UTC+07:00;;13;4;241;387;2853;91592;8217551;89.72;1.041.694.647;-3.216.211.808;12.05;1486.70;0.37;74.23;7.42;4.99%;80.38%;1.50;1.50
01/06/2021;ID-SU;Sumatera Utara;87;3;89;-5;18673;689;15916;2068;Province;Sumatera Utara;Indonesia;Asia;Sumatera;UTC+07:00;;25;8;450;693;5417;72981;14874889;203.82;9.905.196.442;2.191.894.453;5.85;1255.34;0.20;46.32;4.63;3.69%;85.24%;1.01;1.50
02/06/2021;ID-AC;Aceh;13;0;8;5;9298;379;7691;1228;Province;Aceh;Indonesia;Asia;Sumatera;UTC+07:00;Daerah Khusus;18;5;289;;6497;57956;5247257;90.54;9.691.052.174;4.225.614.628;2.48;1771.97;0.00;72.23;7.22;4.08%;82.72%;1.44;1.00
02/06/2021;ID-BA;Bali;197;14;389;-206;27896;725;23939;3232;Province;Bali;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;1;57;80;636;5780;4216171;729.43;1.151.317.136;-8.369.471.688;46.72;6616.43;3.32;171.96;17.20;2.60%;85.82%;0.39;1.56
02/06/2021;ID-BT;Banten;47;5;245;-203;26534;760;24822;952;Province;Banten;Indonesia;Asia;Jawa;UTC+07:00;;4;4;155;313;1238;9663;10722374;1109.64;1.061.090.043;-6.456.736.388;4.38;2474.64;0.47;70.88;7.09;2.86%;93.55%;0.70;0.71
02/06/2021;ID-BE;Bengkulu;6;0;15;-9;4633;142;4336;155;Province;Bengkulu;Indonesia;Asia;Sumatera;UTC+07:00;;9;1;129;172;1341;19919;1999539;100.38;1.023.384.213;-3.533.583.627;3.00;2317.03;0.00;71.02;7.10;3.06%;93.59%;1.00;0.00
02/06/2021;ID-JK;DKI Jakarta;2379;44;4433;-2098;289609;4530;261011;24068;Province;DKI Jakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Khusus Ibu Kota;1;5;44;267;;664;10846145;16334.31;1.068.361.183;-6.204.698.991;219.34;26701.56;4.06;417.66;41.77;1.56%;90.13%;0.71;0.98
02/06/2021;ID-YO;Daerah Istimewa Yogyakarta;217;4;266;-53;23403;537;16602;6264;Province;Daerah Istimewa Yogyakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Istimewa;4;1;78;46;392;3133;3631015;1158.90;1.104.448.783;-789.450.185;59.76;6445.31;1.10;147.89;14.79;2.29%;70.94%;0.78;2.00
02/06/2021;ID-GO;Gorontalo;11;1;14;-4;4447;121;4014;312;Province;Gorontalo;Indonesia;Asia;Sulawesi;UTC+08:00;;5;1;77;72;657;11257;1180651;104.88;1.223.760.581;0.687002604;9.32;3766.57;0.85;102.49;10.25;2.72%;90.26%;0.79;
02/06/2021;ID-JA;Jambi;37;0;71;-34;4834;69;3460;1305;Province;Jambi;Indonesia;Asia;Sumatera;UTC+07:00;;9;2;141;163;1399;50058;3493357;69.79;1.027.236.404;-169.769.766;10.59;1383.77;0.00;19.75;1.98;1.43%;71.58%;0.66;0.00
02/06/2021;ID-JB;Jawa Barat;3982;7;2775;1200;169463;2419;134187;32857;Province;Jawa Barat;Indonesia;Asia;Jawa;UTC+07:00;;18;9;627;645;5312;35378;45161325;1276.55;1.076.037.083;-6.920.432.083;88.17;3752.39;0.15;53.56;5.36;1.43%;79.18%;1.67;0.23
02/06/2021;ID-JT;Jawa Tengah;1601;16;115;1470;135361;5680;86492;43189;Province;Jawa Tengah;Indonesia;Asia;Jawa;UTC+07:00;;29;6;576;753;7809;32801;36364072;1108.64;1.102.011.149;-7.259.097.177;44.03;3722.38;0.44;156.20;15.62;4.20%;63.90%;0.85;0.80
02/06/2021;ID-JI;Jawa Timur;694;62;678;-46;117147;8363;102447;6337;Province;Jawa Timur;Indonesia;Asia;Jawa;UTC+07:00;;29;9;666;777;7724;47803;40479023;846.78;1.127.329.414;-7.723.345.579;17.14;2894.02;1.53;206.60;20.66;7.14%;87.45%;0.92;1.02
02/06/2021;ID-KB;Kalimantan Barat;42;0;31;11;4096;30;3687;379;Province;Kalimantan Barat;Indonesia;Asia;Kalimantan;UTC+07:00;;12;2;174;99;2031;147307;5422814;36.81;1.111.211.776;-0.086474572;7.75;755.33;0.00;5.53;0.55;0.73%;90.01%;1.68;1.00
02/06/2021;ID-KS;Kalimantan Selatan;140;4;154;-18;18720;662;16495;1563;Province;Kalimantan Selatan;Indonesia;Asia;Kalimantan;UTC+08:00;;11;2;153;144;1864;38744;4023049;103.84;1.154.385.783;-2.993.594.979;34.80;4653.19;0.99;164.55;16.46;3.54%;88.11%;1.09;2.00
02/06/2021;ID-KT;Kalimantan Tengah;67;0;132;-65;12352;307;10695;1350;Province;Kalimantan Tengah;Indonesia;Asia;Kalimantan;UTC+07:00;;13;1;136;139;1432;153565;2570289;16.74;1.134.176.536;-1.602.484.653;26.07;4805.69;0.00;119.44;11.94;2.49%;86.59%;0.84;1.00
02/06/2021;ID-KI;Kalimantan Timur;607;23;492;92;45063;1079;35772;8212;Province;Kalimantan Timur;Indonesia;Asia;Kalimantan;UTC+08:00;;7;3;103;197;841;129067;3552191;27.52;1.164.684.405;0.45385803;170.88;12685.97;6.47;303.76;30.38;2.39%;79.38%;0.76;2.09
02/06/2021;ID-KU;Kalimantan Utara;188;0;0;188;7849;107;4981;2761;Province;Kalimantan Utara;Indonesia;Asia;Kalimantan;UTC+08:00;;4;1;53;35;447;75468;648407;8.59;1.162.188.791;2.891.012.621;289.94;12105.05;0.00;165.02;16.50;1.36%;63.46%;3.76;0.00
02/06/2021;ID-BB;Kepulauan Bangka Belitung;135;1;109;25;5243;87;4379;777;Province;Kepulauan Bangka Belitung;Indonesia;Asia;Sumatera;UTC+07:00;;6;1;47;82;309;16424;1379767;84.01;1.065.499.324;-2.447.444.127;97.84;3799.92;0.72;63.05;6.31;1.66%;83.52%;1.17;1.00
02/06/2021;ID-KR;Kepulauan Riau;19;1;33;-15;8274;204;7544;526;Province;Kepulauan Riau;Indonesia;Asia;Sumatera;UTC+07:00;;5;2;75;142;275;8202;1929400;235.24;108.261.746;3.916.346;9.85;4288.38;0.52;105.73;10.57;2.47%;91.18%;0.76;
02/06/2021;ID-LA;Lampung;115;3;165;-53;10772;555;7983;2234;Province;Lampung;Indonesia;Asia;Sumatera;UTC+07:00;;13;2;228;205;2435;34624;9095591;262.70;1.050.214.366;-4.916.792.975;12.64;1184.31;0.33;61.02;6.10;5.15%;74.11%;1.01;0.27
02/06/2021;ID-MA;Maluku;29;0;45;-16;6561;88;5424;1049;Province;Maluku;Indonesia;Asia;Maluku;UTC+09:00;;9;2;118;35;1198;46914;1847097;39.37;129.576.792;-3.192.572;15.70;3552.06;0.00;47.64;4.76;1.34%;82.67%;0.94;1.00
02/06/2021;ID-MU;Maluku Utara;0;0;0;0;3603;106;2875;622;Province;Maluku Utara;Indonesia;Asia;Maluku;UTC+09:00;;8;2;116;118;1063;31983;1307803;40.89;1.275.391.072;0.212036949;0.00;2755.00;0.00;81.05;8.11;2.94%;79.79%;0.00;0.00
02/06/2021;ID-NB;Nusa Tenggara Barat;22;23;50;-51;7651;311;6044;1296;Province;Nusa Tenggara Barat;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;2;117;145;995;18572;5270247;283.77;1.175.086.257;-8.606.998.866;4.17;1451.73;4.36;59.01;5.90;4.06%;79.00%;22.00;11.50
02/06/2021;ID-NT;Nusa Tenggara Timur;198;1;14;183;6069;150;2662;3257;Province;Nusa Tenggara Timur;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;21;1;309;327;3026;48718;5411321;111.07;121.592.271;-8.682.205;36.59;1121.54;0.18;27.72;2.77;2.47%;43.86%;0.51;
02/06/2021;ID-PA;Papua;67;0;14;53;15662;197;8680;6785;Province;Papua;Indonesia;Asia;Papua;UTC+09:00;Daerah Khusus;28;1;560;110;5411;319036;4340348;13.60;13.869.603;-466.620.953;15.44;3608.47;0.00;45.39;4.54;1.26%;55.42%;1.06;0.00
02/06/2021;ID-PB;Papua Barat;14;0;20;-6;6824;111;6210;503;Province;Papua Barat;Indonesia;Asia;Papua;UTC+09:00;Daerah Khusus;12;1;218;95;1742;102955;1140701;11.08;1.329.762.624;-2.045.160.182;12.27;5982.29;0.00;97.31;9.73;1.63%;91.00%;1.08;1.00
02/06/2021;ID-RI;Riau;70;3;130;-63;29441;703;27740;998;Province;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;11.52;4846.97;0.49;115.74;11.57;2.39%;94.22%;1.03;1.00
02/06/2021;ID-SR;Sulawesi Barat;148;1;140;7;4380;84;2415;1881;Province;Sulawesi Barat;Indonesia;Asia;Sulawesi;UTC+08:00;;6;;69;73;575;16787;1559984;92.93;1.193.450.194;-2.461.746.053;94.87;2807.72;0.64;53.85;5.38;1.92%;55.14%;3.08;
02/06/2021;ID-SN;Sulawesi Selatan;495;3;544;-52;50186;756;44829;4601;Province;Sulawesi Selatan;Indonesia;Asia;Sulawesi;UTC+08:00;;21;3;311;792;2255;46717;9426885;201.78;1.201.620.559;-3.731.080.714;52.51;5323.71;0.32;80.20;8.02;1.51%;89.33%;2.19;1.00
02/06/2021;ID-ST;Sulawesi Tengah;184;2;24;158;8851;209;5742;2900;Province;Sulawesi Tengah;Indonesia;Asia;Sulawesi;UTC+08:00;;12;1;175;175;1842;61841;2955567;47.79;1.212.010.927;-100.413.668;62.26;2994.69;0.68;70.71;7.07;2.36%;64.87%;1.06;2.00
02/06/2021;ID-SG;Sulawesi Tenggara;34;0;93;-59;9686;180;8198;1308;Province;Sulawesi Tenggara;Indonesia;Asia;Sulawesi;UTC+08:00;;15;2;219;377;1911;38068;2635461;69.23;122.070.311;-4.124.688.793;12.90;3675.26;0.00;68.30;6.83;1.86%;84.64%;1.10;1.00
02/06/2021;ID-SA;Sulawesi Utara;106;1;162;-57;13888;452;10058;3378;Province;Sulawesi Utara;Indonesia;Asia;Sulawesi;UTC+08:00;;11;4;171;332;1507;13892;2641884;190.17;1.245.212.396;1.259.638.212;40.12;5256.85;0.38;171.09;17.11;3.25%;72.42%;6.24;0.50
02/06/2021;ID-SB;Sumatera Barat;95;1;161;-67;27439;619;24876;1944;Province;Sumatera Barat;Indonesia;Asia;Sumatera;UTC+07:00;;12;7;179;230;928;42013;5519245;131.37;1.004.650.624;-0.850253225;17.21;4971.51;0.18;112.15;11.22;2.26%;90.66%;1.64;1.00
02/06/2021;ID-SS;Sumatera Selatan;58;0;67;-9;14653;691;11975;1987;Province;Sumatera Selatan;Indonesia;Asia;Sumatera;UTC+07:00;;13;4;241;387;2853;91592;8217551;89.72;1.041.694.647;-3.216.211.808;7.06;1783.13;0.00;84.09;8.41;4.72%;81.72%;0.85;0.00
02/06/2021;ID-SU;Sumatera Utara;99;2;107;-10;21573;762;18696;2115;Province;Sumatera Utara;Indonesia;Asia;Sumatera;UTC+07:00;;25;8;450;693;5417;72981;14874889;203.82;9.905.196.442;2.191.894.453;6.66;1450.30;0.13;51.23;5.12;3.53%;86.66%;0.86;0.50
03/06/2021;ID-AC;Aceh;16;0;18;-2;9605;387;7885;1333;Province;Aceh;Indonesia;Asia;Sumatera;UTC+07:00;Daerah Khusus;18;5;289;;6497;57956;5247257;90.54;9.691.052.174;4.225.614.628;3.05;1830.48;0.00;73.75;7.38;4.03%;82.09%;1.78;1.00
03/06/2021;ID-BA;Bali;153;5;215;-67;35380;968;32069;2343;Province;Bali;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;1;57;80;636;5780;4216171;729.43;1.151.317.136;-8.369.471.688;36.29;8391.50;1.19;229.59;22.96;2.74%;90.64%;0.71;0.63
03/06/2021;ID-BT;Banten;13;2;97;-86;30202;906;31401;-2105;Province;Banten;Indonesia;Asia;Jawa;UTC+07:00;;4;4;155;313;1238;9663;10722374;1109.64;1.061.090.043;-6.456.736.388;1.21;2816.73;0.19;84.50;8.45;3.00%;103.97%;0.03;0.29
03/06/2021;ID-BE;Bengkulu;8;0;0;8;5017;147;4636;234;Province;Bengkulu;Indonesia;Asia;Sumatera;UTC+07:00;;9;1;129;172;1341;19919;1999539;100.38;1.023.384.213;-3.533.583.627;4.00;2509.08;0.00;73.52;7.35;2.93%;92.41%;0.53;1.00
03/06/2021;ID-JK;DKI Jakarta;1615;44;1568;3;348579;5756;335556;7267;Province;DKI Jakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Khusus Ibu Kota;1;5;44;267;;664;10846145;16334.31;1.068.361.183;-6.204.698.991;148.90;32138.52;4.06;530.70;53.07;1.65%;96.26%;1.39;0.98
03/06/2021;ID-YO;Daerah Istimewa Yogyakarta;89;5;249;-165;28838;703;23100;5035;Province;Daerah Istimewa Yogyakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Istimewa;4;1;78;46;392;3133;3631015;1158.90;1.104.448.783;-789.450.185;24.51;7942.13;1.38;193.61;19.36;2.44%;80.10%;0.51;
03/06/2021;ID-GO;Gorontalo;13;1;10;2;4863;137;4433;293;Province;Gorontalo;Indonesia;Asia;Sulawesi;UTC+08:00;;5;1;77;72;657;11257;1180651;104.88;1.223.760.581;0.687002604;11.01;4118.91;0.85;116.04;11.60;2.82%;91.16%;1.44;
03/06/2021;ID-JA;Jambi;17;0;45;-28;5611;76;4287;1248;Province;Jambi;Indonesia;Asia;Sumatera;UTC+07:00;;9;2;141;163;1399;50058;3493357;69.79;1.027.236.404;-169.769.766;4.87;1606.19;0.00;21.76;2.18;1.35%;76.40%;2.43;0.00
03/06/2021;ID-JB;Jawa Barat;1227;4;1298;-75;222658;2780;187996;31882;Province;Jawa Barat;Indonesia;Asia;Jawa;UTC+07:00;;18;9;627;645;5312;35378;45161325;1276.55;1.076.037.083;-6.920.432.083;27.17;4930.28;0.09;61.56;6.16;1.25%;84.43%;0.73;0.31
03/06/2021;ID-JT;Jawa Tengah;587;8;47;532;158066;6837;107174;44055;Province;Jawa Tengah;Indonesia;Asia;Jawa;UTC+07:00;;29;6;576;753;7809;32801;36364072;1108.64;1.102.011.149;-7.259.097.177;16.14;4346.76;0.22;188.02;18.80;4.33%;67.80%;0.67;0.47
03/06/2021;ID-JI;Jawa Timur;395;25;466;-96;131834;9191;116598;6045;Province;Jawa Timur;Indonesia;Asia;Jawa;UTC+07:00;;29;9;666;777;7724;47803;40479023;846.78;1.127.329.414;-7.723.345.579;9.76;3256.85;0.62;227.06;22.71;6.97%;88.44%;0.97;1.67
03/06/2021;ID-KB;Kalimantan Barat;73;0;26;47;4839;33;4340;466;Province;Kalimantan Barat;Indonesia;Asia;Kalimantan;UTC+07:00;;12;2;174;99;2031;147307;5422814;36.81;1.111.211.776;-0.086474572;13.46;892.34;0.00;6.09;0.61;0.68%;89.69%;2.52;1.00
03/06/2021;ID-KS;Kalimantan Selatan;171;6;83;82;22944;743;20043;2158;Province;Kalimantan Selatan;Indonesia;Asia;Kalimantan;UTC+08:00;;11;2;153;144;1864;38744;4023049;103.84;1.154.385.783;-2.993.594.979;42.51;5703.14;1.49;184.69;18.47;3.24%;87.36%;0.87;2.00
03/06/2021;ID-KT;Kalimantan Tengah;122;2;84;36;14444;337;12559;1548;Province;Kalimantan Tengah;Indonesia;Asia;Kalimantan;UTC+07:00;;13;1;136;139;1432;153565;2570289;16.74;1.134.176.536;-1.602.484.653;47.47;5619.60;0.78;131.11;13.11;2.33%;86.95%;0.80;0.50
03/06/2021;ID-KI;Kalimantan Timur;396;4;468;-76;57691;1354;49977;6360;Province;Kalimantan Timur;Indonesia;Asia;Kalimantan;UTC+08:00;;7;3;103;197;841;129067;3552191;27.52;1.164.684.405;0.45385803;111.48;16240.96;1.13;381.17;38.12;2.35%;86.63%;1.35;0.57
03/06/2021;ID-KU;Kalimantan Utara;61;0;35;26;10038;151;7758;2129;Province;Kalimantan Utara;Indonesia;Asia;Kalimantan;UTC+08:00;;4;1;53;35;447;75468;648407;8.59;1.162.188.791;2.891.012.621;94.08;15481.02;0.00;232.88;23.29;1.50%;77.29%;2.03;0.00
03/06/2021;ID-BB;Kepulauan Bangka Belitung;75;1;85;-11;7618;113;6990;515;Province;Kepulauan Bangka Belitung;Indonesia;Asia;Sumatera;UTC+07:00;;6;1;47;82;309;16424;1379767;84.01;1.065.499.324;-2.447.444.127;54.36;5521.22;0.72;81.90;8.19;1.48%;91.76%;1.50;
03/06/2021;ID-KR;Kepulauan Riau;13;0;18;-5;8774;220;8386;168;Province;Kepulauan Riau;Indonesia;Asia;Sumatera;UTC+07:00;;5;2;75;142;275;8202;1929400;235.24;108.261.746;3.916.346;6.74;4547.53;0.00;114.03;11.40;2.51%;95.58%;0.68;1.00
03/06/2021;ID-LA;Lampung;41;0;69;-28;12859;669;11332;858;Province;Lampung;Indonesia;Asia;Sumatera;UTC+07:00;;13;2;228;205;2435;34624;9095591;262.70;1.050.214.366;-4.916.792.975;4.51;1413.76;0.00;73.55;7.36;5.20%;88.13%;0.91;0.00
03/06/2021;ID-MA;Maluku;38;0;36;2;7116;107;6436;573;Province;Maluku;Indonesia;Asia;Maluku;UTC+09:00;;9;2;118;35;1198;46914;1847097;39.37;129.576.792;-3.192.572;20.57;3852.53;0.00;57.93;5.79;1.50%;90.44%;4.22;1.00
